"","park","year","total_sq_kilometers","country","state_region_province","closest_city","distance_from_closest_city","geocode_address","lon","lat","geoAddress"
"310","Majella",1991,"704","Italy","Abruzzo and the Molise","Pescara",69,"Majella National Park, Italy",14.0891746,42.0762743,"majella national park, 67030 pacentro aq, italy"
"311","Val Grande ",1991,"146","Italy","Piemonte and Valle d’Aosta","Novara",81,"Val Grande  National Park, Italy",12.56738,41.87194,"italy"
"312","Vesuvius",1991,"73","Italy","Campania","Naples",14,"Vesuvius National Park, Italy",14.4258522,40.8281756,"vesuvio national park, città metropolitana di napoli, italy"
"313","Archipelago of La Maddalena ",1994,"201","Italy","Sardinia","Cagliari",305,"Archipelago of La Maddalena  National Park, Italy",9.43650715,41.2322907,"maddalena archipelago, italy"
"314","Apennino Tosco-Emiliano ",1997,"228","Italy","Emilia-Romagna and Tuscany","Livorno",106,"Apennino Tosco-Emiliano  National Park, Italy",10.2876983,44.3805925,"riserva mab appennino tosco-emiliano, via val d'enza, 31a, 42020 vetto re, italy"
"315","Asinara",1997,"270","Italy","Sardinia","Cagliari",284,"Asinara National Park, Italy",8.2740757,41.0643764,"asinara national park, 07046 asinara ss, italy"
"316","Sila",1997,"737","Italy","Calabria and Basilicata","Reggio Calabria",251,"Sila National Park, Italy",16.6099337,39.4496596,"sila national park, 87066 longobucco cs, italy"
"317","Gennargentu",1998,"730","Italy","Sardinia","Cagliari",146,"Gennargentu National Park, Italy",9.3851236,40.0728658,"parco nazionale del golfo di orosei e del gennargentu, provincia di nuoro, italy"
"318","Cinque Terre ",1999,"39","Italy","Liguria","Genoa",84,"Cinque Terre  National Park, Italy",9.7123907,44.128109,"cinque terre national park, provincia della spezia, italy"
"319","Alta Murgia ",2004,"677","Italy","Puglia","Bari",53,"Alta Murgia  National Park, Italy",16.418526,40.8144771,"via firenze, 10, 70024 gravina in puglia ba, italy"
"320","Apennino Lucano-Val d’Agri-Lagonegrese",2007,"690","Italy","Calabria and Basilicata","Salerno",109,"Apennino Lucano-Val d’Agri-Lagonegrese National Park, Italy",15.8725864,40.3585491,"ente parco nazionale dell'appennino lucano val d'agri - lagonegrese, 85052 pz, italy"
"321","Island of Pantelleria ",2016,"66","Italy","Sicily","Palermo",281,"Island of Pantelleria  National Park, Italy",11.9918779,36.785262,"pantelleria, 91017 pantelleria, free municipal consortium of trapani, italy"
"322","Bjeshket e Nemuna ",2012,"630","Kosovo","Kosovo","Pristina",121,"Bjeshket e Nemuna  National Park, Kosovo",20.1879106,42.6234144,"j5fq+957 national park prokletije, shtupeq i vogël"
"323","Sharr Mountains ",2012,"533","Kosovo","Kosovo","Pristina",70,"Sharr Mountains  National Park, Kosovo",20.9443443,42.2054079,"sharr mountain national park"
"324","Gauja",1973,"918","Latvia","Vidzeme","Riga",94,"Gauja National Park, Latvia",25.2123009,57.3320554,"gauja national park, lielā iela 30, ieriķi, lv-4139, latvia"
"325","Kemeri ",1997,"362","Latvia","Courland, Semigallia and Vidzeme","Riga",46,"Kemeri  National Park, Latvia",23.4603061,56.9453376,"ķemeri national park, pavasari, salas pagasts, latvia"
"326","Slitere ",1999,"164","Latvia","Courland","Riga",179,"Slitere  National Park, Latvia",22.4133863,57.6935779,"slītere national park, latvia"
"327","Razna",2007,"596","Latvia","Latgale","Riga",276,"Razna National Park, Latvia",27.4790249,56.2670966,"rāznas nacionālais parks, rāznas iela 10, lipuški, lv-4626, latvia"
"328","Aukstaitija",1974,"411","Lithuania","Aukstaitija","Vilnius",118,"Aukstaitija National Park, Lithuania",26.0569303,55.3439098,"aukštaitija national park, ignalinos sen, 30202, lithuania"
"329","Dzukija",1981,"585","Lithuania","Dzukija","Vilnius",104,"Dzukija National Park, Lithuania",24.1861435,54.1631752,"dzūkijos nacionalinio parko ir čepkelių valstybinio gamtinio rezervato direkcija, vilniaus g. 3, 65334 merkinė, lithuania"
"330","Curonian Spit ",1991,"274","Lithuania","Lithuania Minor","Klapeida",51,"Curonian Spit  National Park, Lithuania",20.9904538,55.2950183,"curonian spit national park, naglių g. 8, 93123 nida, lithuania"
"331","Trakai National Historic Park ",1991,"81","Lithuania","Dzukija","Vilnius",30,"Trakai National Historic Park  National Park, Lithuania",24.9332958,54.6478878,"trakai historical national park, karaimų g. 5, 21104 trakai, lithuania"
"332","Zemaitija",1991,"218","Lithuania","Samogitia","Klapeida",74,"Zemaitija National Park, Lithuania",21.8531667,56.033622,"žemaitijos nacionalinis parkas, didžioji gatvė 10, 90420 plateliai, lithuania"
"333","Orhei ",2013,"388","Moldova","Central Moldova","Chisinau",53,"Orhei  National Park, Moldova",28.9789795,47.3036244,"orhei national park, orhei vechi monastery rd, butuceni, moldova"
"334","Durmitor",1952,"390","Montenegro","NW Montenegro","Sarajevo ",152,"Durmitor National Park, Montenegro",19.0895813,43.149618,"43xq+rrw durmitor, žabljak, montenegro"
"335","Biogradska Gora ",1952,"57","Montenegro","NE Montenegro","Mitrovica",199,"Biogradska Gora  National Park, Montenegro",19.6103673,42.8920363,"biogradska gora, montenegro"
"336","Lovcen",1952,"62","Montenegro","S Montenegro","Shkoder",115,"Lovcen National Park, Montenegro",18.8432656,42.397607,"9rxv+28r lovcen national park, cetinje, montenegro"
"337","Lake Skadar ",1983,"400","Montenegro","SE Montenegro","Shkoder",71,"Lake Skadar  National Park, Montenegro",19.2914983,42.1837016,"shkodra lake"
"338","Prokletije",2009,"166","Montenegro","E Montenegro","Prizren (Kosovo)",151,"Prokletije National Park, Montenegro",19.9139594,42.5319022,"nacionalni park prokletije, za hrid, treskavica, montenegro"
"339","Veluwezoom",1930,"50","Netherlands","Eastern Netherlands","Arnhem",11,"Veluwezoom National Park, Netherlands",6.0198869,52.0483103,"national park veluwezoom, heuvenseweg 5a, 6991 je rheden, netherlands"
"340","De Hoge Veluwe ",1935,"54","Netherlands","Eastern Netherlands","Arnhem",10,"De Hoge Veluwe  National Park, Netherlands",5.8324892,52.078716,"hoge veluwe national park, netherlands"
"341","Schiermonnikoog",1989,"54","Netherlands","North and Frisian Islands","Groningen",39,"Schiermonnikoog National Park, Netherlands",6.1614581,53.4774159,"schiermonnikoog national park, reeweg 9, 9166 pw schiermonnikoog, netherlands"
"342","Dwingelderveld",1991,"37","Netherlands","North and Frisian Islands","Zwolle",50,"Dwingelderveld National Park, Netherlands",6.4093855,52.8087147,"dwingelderveld national park, benderse 22, 7963 ra ruinen, netherlands"
"343","Weeribben-Wieden ",1992,"105","Netherlands","Eastern Netherlands","Zwolle",35,"Weeribben-Wieden  National Park, Netherlands",6.0282352,52.7256321,"de weerribben-wieden national park, oeverweg, giethoorn, netherlands"
"344","De Groote Peel ",1993,"13","Netherlands","South and Zeeland","Eindhoven",31,"De Groote Peel  National Park, Netherlands",5.8173712,51.3465447,"de groote peel national park, moostdijk 15, 6035 rb ospel, netherlands"
"345","De Biesboch ",1994,"71","Netherlands","South and Zeeland","Dordrecht",7,"De Biesboch  National Park, Netherlands",4.7632307,51.7507546,"nationaal park de biesbosch, netherlands"
"346","Zuid-Kennemerland ",1995,"38","Netherlands","Noord-Holland","Haarlem",5,"Zuid-Kennemerland  National Park, Netherlands",4.5921277,52.3960551,"zuid-kennemerland national park, zeeweg 12, 2051 ec overveen, netherlands"
"347","De Meinweg ",1995,"17","Netherlands","South and Zeeland","Eindhoven",62,"De Meinweg  National Park, Netherlands",6.0847487,51.1560745,"meinweg national park, meinweg 2, 6075 na herkenbosch, netherlands"
"348","De Maasduinen ",1996,"42","Netherlands","South and Zeeland","Nijmegen",44,"De Maasduinen  National Park, Netherlands",6.0985098,51.5831114,"national park de maasduinen, bergen, netherlands"
"349","Drents-Friese Wold ",2000,"61","Netherlands","North and Frisian Islands","Groningen",56,"Drents-Friese Wold  National Park, Netherlands",6.3104433,52.8800076,"drents-friese wold national park, 8426 sj diever, netherlands"
"350","De Zoom-Kalmthoutse ",2001,"38","Netherlands","South and Zeeland","Antwerp",24,"De Zoom-Kalmthoutse  National Park, Netherlands",4.4076193,51.3995901,"grenspark kalmthoutse heide, putsesteenweg 129, 2920 kalmthout, belgium"
"351","Drentsche Aa ",2002,"106","Netherlands","North and Frisian Islands","Groningen",27,"Drentsche Aa  National Park, Netherlands",6.6418091,53.0823743,"nationaal beek- en esdorpenlandschap drentsche aa, zuidlaarderweg 37, 9482 tv tynaarlo, netherlands"
"352","Duinen van Texel ",2002,"43","Netherlands","Noord-Holland","Amsterdam",102,"Duinen van Texel  National Park, Netherlands",4.7433419,53.0752289,"nationaal park duinen van texel, ruijslaan 92, 1796 az de koog, netherlands"
"353","Oosterschelde",2002,"370","Netherlands","South and Zeeland","Antwerp",70,"Oosterschelde National Park, Netherlands",3.9486301,51.569722,"oosterschelde national park, netherlands"
"354","De Loonse en Drunense Duinen ",2002,"34","Netherlands","South and Zeeland","‘s-Hertogenbosch ",12,"De Loonse en Drunense Duinen  National Park, Netherlands",5.1318331,51.6533754,"the loonse and drunense duinen nat'l pk, 5151 rg drunen, netherlands"
"355","Lauwersmeer",2003,"60","Netherlands","North and Frisian Islands","Groningen",46,"Lauwersmeer National Park, Netherlands",6.1730238,53.3744179,"nationaal park lauwersmeer, nationaal park lauwersmeer, lauwersoog 9976 vt, de rug 1, 9976 vt lauwersoog, netherlands"
"356","Utrechtse Heuvelrug ",2003,"100","Netherlands","Zuid-Holland and Utrecht","Utrecht",24,"Utrechtse Heuvelrug  National Park, Netherlands",5.3539877,52.0495308,"utrechtse heuvelrug national park, amersfoortseweg 98, 3941 ep doorn, netherlands"
"357","Sallandse Heuvelrug ",2004,"27","Netherlands","Eastern Netherlands","Zwolle",37,"Sallandse Heuvelrug  National Park, Netherlands",6.4184451,52.3469049,"sallandse heuvelrug, netherlands"
"358","De Alde Feanen ",2006,"40","Netherlands","North and Frisian Islands","Groningen",56,"De Alde Feanen  National Park, Netherlands",5.944981,53.129885,"de alde feanen national park, koaidyk 8a, 9264 tp earnewald, netherlands"
"359","Nieuw Land ",2018,"289","Netherlands","Eastern Netherlands","Almere",17,"Nieuw Land  National Park, Netherlands",5.4251703,52.5276298,"nationaal park nieuw land, visarenddreef, 8232 ph lelystad, netherlands"
"360","Pelister",1948,"172","North Macedonia","Southern N Macedonia","Elbasan",169,"Pelister National Park, North Macedonia",21.2129616,41.0014546,"2627+h5p national park „pelister“, nižepole, north macedonia"
"361","Mavrovo",1949,"780","North Macedonia","Western N Macedonia","Skopje",99,"Mavrovo National Park, North Macedonia",20.7338513,41.6549405,"mavrovo, north macedonia"
"362","Galicica",1958,"227","North Macedonia","Southern N Macedonia","Elbasan",92,"Galicica National Park, North Macedonia",20.8327778,40.9641667,"galičica, north macedonia"
"363","Shar Mountain",2021,"627","North Macedonia","NW N Macedonia","Skopje",63,"Shar Mountain National Park, North Macedonia",20.8333333,42.0833333,"šar mountains, north macedonia"
"364","Rondane",1962,"963","Norway","Central Norway","Trondheim",257,"Rondane National Park, Norway",9.7888809,61.9315164,"rondane national park, norway"
"365","Borgefjell",1963,"1446","Norway","Trondheim to the Lofoten Islands","Trondheim",350,"Borgefjell National Park, Norway",13.9535612,65.0623706,"børgefjell/byrkije nasjonalpark, børgefjell, 7898 limingen, norway"
"366","Gutulia",1968,"23","Norway","Central Norway","Oslo",308,"Gutulia National Park, Norway",12.1756405,62.0254161,"gutulia, 2443 drevsjø, norway"
"367","Anderdalen",1970,"134","Norway","North Norway","Murmansk",950,"Anderdalen National Park, Norway",17.2481834,69.207934,"ånderdalen national park, senja, norway"
"368","Ovre Pasvik ",1970,"199","Norway","North Norway","Murmansk",256,"Ovre Pasvik  National Park, Norway",29.2315988,69.1499347,"øvre pasvik nasjonalpark, fv8850 1, 9925 svanvik, norway"
"369","Stabbursdalen",1970,"747","Norway","North Norway","Murmansk",470,"Stabbursdalen National Park, Norway",24.5110167,69.9952006,"stabbursdalen national park, vestre porsangerveien 1335, 9710 indre billefjord, norway"
"370","Femundsmarka",1971,"573","Norway","Central Norway","Trondheim",320,"Femundsmarka National Park, Norway",12.151693,62.3193251,"femundsmarka national park, synnervika 59, 7375, norway"
"371","Ovre Dividal ",1971,"750","Norway","North Norway","Oulu",650,"Ovre Dividal  National Park, Norway",19.9612872,68.7348814,"øvre dividal national park, målselv, norway"
"372","Rago",1971,"171","Norway","Trondheim to the Lofoten Islands","Trondheim",649,"Rago National Park, Norway",16.0056756,67.4385104,"rago national park, sørfold, norway"
"373","Forlandet",1973,"4647","Norway","North Norway","Murmansk",1247,"Forlandet National Park, Norway",8.468946,60.472024,"norway"
"374","Nordvest-Spitzbergen ",1973,"9914","Norway","North Norway","Murmansk",1307,"Nordvest-Spitzbergen  National Park, Norway",8.468946,60.472024,"norway"
"375","Sor-Spitsbergen ",1973,"13286","Norway","North Norway","Murmansk",1063,"Sor-Spitsbergen  National Park, Norway",8.468946,60.472024,"norway"
"376","Dovrefjell-Sunndallsfjella ",1974,"4367","Norway","Central Norway","Trondheim",142,"Dovrefjell-Sunndallsfjella  National Park, Norway",9.106266,62.3662329,"dovrefjell–sunndalsfjella national park, norway"
"377","Ovre Anarjohka ",1975,"1390","Norway","North Norway","Murmansk",577,"Ovre Anarjohka  National Park, Norway",24.6887897,68.767119,"øvre anárjohka nasjonalpark, kautokeino kommune, norway"
"378","Jotunheimen",1980,"1151","Norway","Central Norway","Trondheim",309,"Jotunheimen National Park, Norway",8.484206,61.5535919,"jotunheimen national park, norway"
"379","Hardangervidda",1981,"3422","Norway","Bergen and the Western Fjords","Bergen",177,"Hardangervidda National Park, Norway",7.443046,60.1542843,"hardangervidda national park, norway"
"380","Reisa",1986,"803","Norway","North Norway","Trondheim",251,"Reisa National Park, Norway",21.7173781,69.4023654,"reisa national park, hovedveien 2, 9151 storslett, norway"
"381","Saltfjellet-Svartisen ",1989,"2192","Norway","Trondheim to the Lofoten Islands","Trondheim",490,"Saltfjellet-Svartisen  National Park, Norway",14.5385458,66.6484076,"saltfjellet–svartisen national park, rana, norway"
"382","Jostedalsbree",1991,"1310","Norway","Bergen and the Western Fjords","Bergen",298,"Jostedalsbree National Park, Norway",8.468946,60.472024,"norway"
"383","Forollhogna",2001,"1062","Norway","Central Norway","Trondheim",142,"Forollhogna National Park, Norway",10.7048034,62.6066125,"forollhogna national park, 2512 os i østerdalen, norway"
"384","Dovre",2003,"289","Norway","Central Norway","Trondheim",221,"Dovre National Park, Norway",8.468946,60.472024,"norway"
"385","Moysalen",2003,"51","Norway","North Norway","Oulu",801,"Moysalen National Park, Norway",15.489665,68.5032378,"møysalen, 8412, norway"
"386","Nordre Isfjorden ",2003,"2954","Norway","North Norway","Murmansk",1187,"Nordre Isfjorden  National Park, Norway",7.7922426,62.577801,"isfjorden, norway"
"387","Sassen-Bunsow Land ",2003,"1230","Norway","North Norway","Murmansk",1149,"Sassen-Bunsow Land  National Park, Norway",16.9755556,78.5472222,"bünsow land, 9170, svalbard and jan mayen"
"388","Blafjella-Skjaekerfjella ",2004,"1924","Norway","Trondheim to the Lofoten Islands","Trondheim",199,"Blafjella-Skjaekerfjella  National Park, Norway",13.1970355,64.263885,"blåfjella-skjækerfjella national park, snåsa kommune, norway"
"389","Junkerdal",2004,"682","Norway","Trondheim to the Lofoten Islands","Trondheim",649,"Junkerdal National Park, Norway",15.7453012,66.9211927,"junkerdal national park, junkerdal, norway"
"390","Lierne",2004,"333","Norway","Trondheim to the Lofoten Islands","Trondheim",295,"Lierne National Park, Norway",13.9670835,64.3274238,"lierne nasjonalpark / lijren vaarjelimmiedajve, 7882 nordli, norway"
"391","Skarvan and Roltdalen ",2004,"441","Norway","Trondheim to the Lofoten Islands","Trondheim",90,"Skarvan and Roltdalen  National Park, Norway",11.5172441,63.2328834,"skarvan og roltdalen, 7580, norway"
"392","Folgefonna ",2005,"545","Norway","Bergen and the Western Fjords","Bergen ",115,"Folgefonna  National Park, Norway",6.3333333,60,"folgefonna, etne municipality, norway"
"393","Indre Wijdefjorden ",2005,"1127","Norway","North Norway","Murmansk",1244,"Indre Wijdefjorden  National Park, Norway",8.468946,60.472024,"norway"
"394","Hallingskarvet",2006,"450","Norway","Central Norway","Oslo",240,"Hallingskarvet National Park, Norway",7.7378102,60.6144551,"hallingskarvet national park, rallarvegen 2660, 5719 finse, norway"
"395","Reinheimen ",2006,"1969","Norway","Bergen and the Western Fjords","Bergen",371,"Reinheimen  National Park, Norway",8.1373514,62.1647421,"reinheimen, 2668, norway"
"396","Seiland ",2006,"316","Norway","North Norway","Murmansk",408,"Seiland  National Park, Norway",23.3084379,70.3890901,"seiland national park, 9532 seiland, norway"
"397","Varangerhalvoy",2006,"1804","Norway","North Norway","Murmansk",385,"Varangerhalvoy National Park, Norway",29.5,70.4166667,"varanger peninsula, båtsfjord municipality, norway"
"398","Breihemen",2009,"1671","Norway","Bergen and the Western Fjords","Bergen",302,"Breihemen National Park, Norway",7.8584951,61.8037007,"breheimen, 2693, norway"
"399","Lomsdal-Visten ",2009,"682","Norway","Trondheim to the Lofoten Islands","Trondheim",350,"Lomsdal-Visten  National Park, Norway",12.9727997,65.4435658,"lomsdal–visten national park, 8960 velfjord, norway"
"400","Ytre Hvaler ",2009,"354","Norway","Oslo and the Oslofjord","Oslo",112,"Ytre Hvaler  National Park, Norway",11.0367137,59.0249855,"torvet 7, 1680 skjærhalden, norway"
"401","Sjunkhatten",2010,"417","Norway","Trondheim to the Lofoten Islands","Trondheim",701,"Sjunkhatten National Park, Norway",15.1747074,67.4070545,"sjunkhatten national park, ånsvikfjellet 3, 8220 røsvika, norway"
"402","Langsua",2011,"537","Norway","Central Norway","Oslo",193,"Langsua National Park, Norway",9.8146754,61.1945911,"langsua national park, 2653 vestre gausdal, norway"
"403","Rohkunborri",2011,"571","Norway","North Norway","Oulu",600,"Rohkunborri National Park, Norway",18.7943175,68.5477326,"rohkunborri national park, 9360 bardu, norway"
"404","Fulufjellet ",2012,"83","Norway","Central Norway","Oslo",245,"Fulufjellet  National Park, Norway",12.777547,61.3976899,"fulufjellet national park, trysil, norway"
"405","Lakho",2012,"188","Norway","Trondheim to the Lofoten Islands","Trondheim",620,"Lakho National Park, Norway",14.2698089,66.829868,"láhko national park, 8120 nygårdsjøen, norway"
"406","Faerder",2013,"350","Norway","Oslo and the Oslofjord","Drammen",89,"Faerder National Park, Norway",10.4066938,59.0583812,"færder national park, helgerødveien 590, 3145 tjøme, norway"
"407","Jomfruland",2016,"177","Norway","Central Norway","Oslo",213,"Jomfruland National Park, Norway",9.5905535,58.8656363,"jomfruland national park, jomfruland, 3781 jomfruland, norway"
"408","Raet",2016,"607","Norway","The South","Drammen",247,"Raet National Park, Norway",8.468946,60.472024,"norway"
"409","Lofotodden",2018,"99","Norway","Trondheim to the Lofoten Islands","Trondheim",802,"Lofotodden National Park, Norway",13.087831,67.9323554,"lofotodden nasjonalpark, kirkeveien 52, 8390 reine, norway"
"410","Van Mijenfjorden ",2021,"4251","Norway","North Norway","Murmansk",1133,"Van Mijenfjorden  National Park, Norway",8.468946,60.472024,"norway"
"411","Bialowieza",1947,"105","Poland","Northeastern Poland","Bialystok",64,"Bialowieza National Park, Poland",23.6555674,52.7228852,"białowieża forest, poland"
"412","Swietokrzyski ",1950,"76","Poland","Krakow, Malopolska and the Tatras","Kielce",20,"Swietokrzyski  National Park, Poland",20.914549,50.896028,"swietokrzyski national park, suchedniowska 4, 26-010 bodzentyn, poland"
"413","Pieniny",1954,"23","Poland","Krakow, Malopolska and the Tatras","Krakow",111,"Pieniny National Park, Poland",20.3863415,49.4191992,"pieniński park narodowy, poland"
"414","Tatra",1954,"212","Poland","Krakow, Malopolska and the Tatras","Bielsko-Biala",129,"Tatra National Park, Poland",19.982744,49.271441,"tatry national park, poland, kuźnice 1, 34-500 zakopane, poland"
"415","Babia Gora ",1955,"34","Poland","Krakow, Malopolska and the Tatras","Bielsko-Biala ",71,"Babia Gora  National Park, Poland",19.531196,49.5937423,"babia góra national park, 34-223 zawoja, poland"
"416","Ojcow",1956,"21","Poland","Krakow, Malopolska and the Tatras","Krakow",20,"Ojcow National Park, Poland",19.8178761,50.2070516,"ojcowski national park, ojców 9, 32-045 sułoszowa, poland"
"417","Wielkopolska",1957,"76","Poland","Wielkopolska and Pomerania","Poznan",22,"Wielkopolska National Park, Poland",16.7972774,52.2687064,"wielkopolski national park, 62-050 jeziory, poland"
"418","Kampinos",1959,"385","Poland","Warsaw and Mazovia","Warsaw",15,"Kampinos National Park, Poland",20.6198094,52.3162506,"kampinos national park, izabelin c, poland"
"419","Karkonosze",1959,"56","Poland","Silesia","Walbrzych",57,"Karkonosze National Park, Poland",15.6370425,50.7874926,"karkonosze national park, chałubińskiego 23, 58-570 jelenia góra, poland"
"420","Wolin ",1960,"109","Poland","Wielkopolska and Pomerania","Szczecin",85,"Wolin  National Park, Poland",14.4860663,53.8973669,"wolin national park, 72-500 międzyzdroje, poland"
"421","Slowinski",1967,"186","Poland","Wielkopolska and Pomerania","Gdynia",116,"Slowinski National Park, Poland",17.3169313,54.7001729,"słowiński national park, bohaterów warszawy 1a, 76-214 smołdzino, poland"
"422","Bieszczady",1973,"292","Poland","Southeastern Poland","Rzeszow",149,"Bieszczady National Park, Poland",22.5904351,49.1411769,"bieszczady national park, 38-713 ustrzyki górne, poland"
"423","Roztocze",1974,"85","Poland","Southeastern Poland","Lublin",88,"Roztocze National Park, Poland",22.9628607,50.6001398,"roztocze national park, plażowa 2, zwierzyniec, poland"
"424","Gorce ",1981,"70","Poland","Krakow, Malopolska and the Tatras","Krakow",73,"Gorce  National Park, Poland",20.1509328,49.5503544,"gorczański park narodowy, poręba wielka 590, 34-735, poland"
"425","Wigry",1989,"151","Poland","Northeastern Poland","Grodno",97,"Wigry National Park, Poland",23.0098343,54.0842819,"wigierski park narodowy, krzywe 82, 16-402, poland"
"426","Drawno",1990,"144","Poland","Wielkopolska and Pomerania","Szczecin",115,"Drawno National Park, Poland",15.75932,53.21983,"drawno, poland"
"427","Polosie",1990,"98","Poland","Southeastern Poland","Lublin",56,"Polosie National Park, Poland",19.145136,51.919438,"poland"
"428","Biebrza",1993,"592","Poland","Northeastern Poland","Bialystok",55,"Biebrza National Park, Poland",22.7520131,53.4957878,"biebrzański park narodowy, poland"
"429","Stolowe Mountains ",1993,"63","Poland","Silesia","Walbrzych",56,"Stolowe Mountains  National Park, Poland",16.3958558,50.4601238,"stołowe mountains national park, poland"
"430","Magura",1995,"194","Poland","Southeastern Poland","Tarnow",90,"Magura National Park, Poland",21.4698347,49.5092526,"magura national park, 38-232 krempna, poland"
"431","Narew",1996,"68","Poland","Northeastern Poland","Bialystok",38,"Narew National Park, Poland",22.8686148,53.0727652,"narew national park, kurowo 10, 18-204, poland"
"432","Tuchola Forest ",1996,"48","Poland","Wielkopolska and Pomerania","Bygdoszcz",93,"Tuchola Forest  National Park, Poland",17.5648264,53.81517,"park narodowy bory tucholskie, długa 33, 89-606 charzykowy, poland"
"433","Ujscie Warty ",2001,"80","Poland","Wielkopolska and Pomerania","Gorzow Wielkopolski ",46,"Ujscie Warty  National Park, Poland",14.651084,52.5689319,"park narodowy „ujście warty"", chyrzyno 1, 69-113, poland"
"434","Cheile Bicazului-Hasmas ",1990,"66","Romania","Moldavia","Bacau",168,"Cheile Bicazului-Hasmas  National Park, Romania",25.8142645,46.8092782,"cheile bicazului, dn12c, romania"
"435","Piatra Craiului ",1990,"148","Romania","Transylvania","Brasov",51,"Piatra Craiului  National Park, Romania",25.2328077,45.503807,"g63m+g4 piatra craiului national park, ciocanu, romania"
"436","Calimani ",2000,"259","Romania","Transylvania","Botosani",168,"Calimani  National Park, Romania",25.351797,47.264653,"calimani national park, nr 54c, șaru dornei 727515, romania"
"437","Cozia",2000,"171","Romania","Wallachia","Sibiu",76,"Cozia National Park, Romania",24.2507056,45.3002454,"cozia national park, calea lui traian 559, căciulata 245601, romania"
"438","Domogled-Valea Cernei ",2000,"612","Romania","The Banat","Timisoara",193,"Domogled-Valea Cernei  National Park, Romania",22.4298417,44.9022354,"parcul național domogled-valea cernei, strada uzinei 9, băile herculane 325200, romania"
"439","Nera Gorge-Beusnita ",2000,"368","Romania","The Banat","Timisoara",105,"Nera Gorge-Beusnita  National Park, Romania",21.8877902,44.9558443,"cheile nerei-beușnița national park, romania"
"440","Retezat ",2000,"380","Romania","Transylvania","Timisoara",223,"Retezat  National Park, Romania",22.882143,45.3818438,"retezat national park, nr. 284 com, nucșoara 337423, romania"
"441","Rodna Mountains ",2000,"466","Romania","Maramures","Baia Mare",123,"Rodna Mountains  National Park, Romania",24.7202975,47.5596519,"rodnei mountains national park, romania"
"442","Semenic-Caras Gorge ",2000,"357","Romania","The Banat","Timisoara",131,"Semenic-Caras Gorge  National Park, Romania",21.961281,45.1563939,"semenic - cheile carasului national park, romania"
"443","Buila-Vanturarita ",2005,"42","Romania","Wallachia","Pitesti",94,"Buila-Vanturarita  National Park, Romania",24.094346,45.2458795,"buila vânturarița national park, romania"
"444","Defileul Jiului ",2005,"111","Romania","Transylvania","Sibiu",199,"Defileul Jiului  National Park, Romania",23.3819085,45.3145242,"defileul jiului national park, strada zorilor 6, bumbești-jiu 215100, romania"
"445","Fruska Gora ",1960,"254","Serbia","Northern Serbia","Novi Sad",22,"Fruska Gora  National Park, Serbia",19.7444027,45.15614,"fruška gora national park, zmajev trg 1, čerević 21208, serbia"
"446","Djerdap",1974,"637","Serbia","Eastern Serbia","Belgrade",131,"Djerdap National Park, Serbia",21.9802686,44.5289598,"djerdap national park, serbia"
"447","Kopaonik ",1981,"118","Serbia","Southern Serbia","Pristina",236,"Kopaonik  National Park, Serbia",20.7985117,43.2761907,"kopaonik national park, kopaonička, serbia"
"448","Tara",1981,"192","Serbia","Western Serbia","Sarajevo ",155,"Tara National Park, Serbia",19.459444,43.848333,"tara, mokra gora, serbia"
"449","Tatra",1949,"703","Slovakia","Northern Slovakia","Kosice",136,"Tatra National Park, Slovakia",20.0984208,49.1417445,"tatra national park, 062 01 vysoké tatry, slovakia"
"450","Pieniny",1967,"38","Slovakia","Northern Slovakia","Kosice",122,"Pieniny National Park, Slovakia",20.5061033,49.3872818,"pieniny national park, 543 51, 059 06 červený kláštor, slovakia"
"451","Low Tatras",1978,"728","Slovakia","Central Slovakia","Kosice",132,"Low Tatras National Park, Slovakia",19.2298088,48.8889691,"low tatras national park, 974 01 banská bystrica, slovakia"
"452","Mala Fatra ",1988,"226","Slovakia","Central Slovakia","Ostrava",117,"Mala Fatra  National Park, Slovakia",19.0611785,49.2512161,"malá fatra, slovakia"
"453","Poloniny",1997,"298","Slovakia","Northeastern Slovakia","Uzzhorod",84,"Poloniny National Park, Slovakia",22.4098853,49.0544125,"poloniny national park, rybnícka 3951, 069 01 snina, slovakia"
"454","Muranska Planina ",1998,"203","Slovakia","Central Slovakia","Kosice",123,"Muranska Planina  National Park, Slovakia",20.0211046,48.7722487,"národný park muránska planina, slovakia"
"455","Slovak Paradise ",1998,"198","Slovakia","Eastern Slovakia","Kosice",81,"Slovak Paradise  National Park, Slovakia",20.2406407,48.9377255,"slovak paradise national park, slovakia"
"456","Slovak Karst ",2002,"346","Slovakia","Southeastern Slovakia","Kosice",68,"Slovak Karst  National Park, Slovakia",20.53339,48.6121142,"slovak karst, hámosiho 188, 049 51 brzotín, slovakia"
"457","Vel’ka Fatra ",2002,"404","Slovakia","Central Slovakia","Ostrava",147,"Vel’ka Fatra  National Park, Slovakia",19.0883697,49.0096045,"veľká fatra national park, slovakia"
"458","Ordesa y Monte Perdido ",1918,"156","Spain","Aragon","Zaragoza",165,"Ordesa y Monte Perdido  National Park, Spain",0.0349001,42.6468705,"ordesa y monte perdido national park, huesca, spain"
